run,tag,step,value,wall_time,event_file
lstm-v1,evaluation/bleu,1,3.083200216293335,1776645468.4677422,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,2,7.912659645080566,1776646477.6473358,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,3,11.101255416870117,1776647489.3435507,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,4,13.109021186828613,1776648500.1828976,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,5,14.597884178161621,1776649509.5458002,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,6,15.378120422363281,1776650499.753243,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,7,16.831592559814453,1776651499.9370902,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,8,17.696678161621094,1776652519.8149195,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,9,18.193593978881836,1776653521.3263767,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,10,18.870712280273438,1776654539.6181061,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,11,19.0342960357666,1776655551.8535357,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,12,20.10865020751953,1776656557.010153,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,13,20.326904296875,1776657564.461218,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,14,20.778114318847656,1776658572.8066978,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,15,21.20028305053711,1776659581.838816,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,16,21.554750442504883,1776660588.3433392,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,17,21.80362892150879,1776661596.7137134,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,18,21.700410842895508,1776662607.3821564,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,19,21.972795486450195,1776663615.1793828,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,20,22.002071380615234,1776664627.4016588,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,21,22.387046813964844,1776665630.3647819,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,22,22.56560707092285,1776666637.1473513,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,23,22.793760299682617,1776667638.4562793,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,24,23.355621337890625,1776668645.861535,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,25,22.800262451171875,1776669646.3131175,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,26,23.200008392333984,1776670655.1448169,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,27,23.225969314575195,1776671667.773804,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,28,23.699604034423828,1776672704.3540912,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,29,23.888036727905273,1776673736.9057686,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,30,23.90701675415039,1776674757.1986737,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,31,24.09296417236328,1776675796.2186053,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,32,24.173479080200195,1776676828.8874419,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,33,24.166702270507812,1776677851.2430503,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,34,24.502197265625,1776678865.1531887,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,35,23.953577041625977,1776679894.238762,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,36,24.837120056152344,1776680925.134965,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,37,24.69228172302246,1776681971.875008,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,38,24.980138778686523,1776682984.7445734,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,39,25.003910064697266,1776683999.818457,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,40,24.9621639251709,1776685018.8843713,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,41,24.837251663208008,1776686026.8490324,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,42,25.22769546508789,1776687032.5483327,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,43,25.626220703125,1776688052.3543954,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,44,25.759563446044922,1776689055.9446793,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,45,25.66631317138672,1776690070.2315667,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,46,25.69047737121582,1776691090.9624016,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,47,26.018409729003906,1776692100.38612,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,48,25.704862594604492,1776693117.3399632,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,49,25.81277084350586,1776694117.4478083,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,50,25.768447875976562,1776695132.9497256,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,51,25.70100975036621,1776696161.2780702,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,52,25.782724380493164,1776697171.792266,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,53,25.90499496459961,1776698191.6201916,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,54,26.053287506103516,1776699216.1299958,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,55,26.118881225585938,1776700230.5934315,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,56,26.158159255981445,1776701246.1710498,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/bleu,57,26.123878479003906,1776702274.949938,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v2,evaluation/bleu,1,2.4337897300720215,1776795065.6808891,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/bleu,2,7.188098907470703,1776796069.2794535,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/bleu,3,11.484167098999023,1776797057.085478,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/bleu,4,14.68202018737793,1776798067.3702962,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/bleu,5,15.698050498962402,1776799061.7043984,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/bleu,6,16.30028533935547,1776800047.482603,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/bleu,7,18.4024715423584,1776801011.738701,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/bleu,8,18.327587127685547,1776802016.0453584,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/bleu,9,19.328479766845703,1776803009.542739,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/bleu,10,20.04886245727539,1776804015.5975285,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/bleu,11,20.445316314697266,1776805002.9163344,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/bleu,12,20.817188262939453,1776806014.6565645,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/bleu,13,21.6525821685791,1776807007.5576742,events.out.tfevents.1776794059.41d7b82d1494.35124.1
lstm-v2,evaluation/bleu,14,21.852787017822266,1776807997.421646,events.out.tfevents.1776794059.41d7b82d1494.35124.1
