run,tag,step,value,wall_time,event_file
lstm-v1,evaluation/loss,1,5.165582180023193,1776645468.4677036,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/loss,2,4.474610328674316,1776646477.647298,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/loss,3,4.100132942199707,1776647489.3435166,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/loss,4,3.8690197467803955,1776648500.1828606,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/loss,5,3.70188045501709,1776649509.545763,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/loss,6,3.599494457244873,1776650499.7531993,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/loss,7,3.4817488193511963,1776651499.9370558,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/loss,8,3.404397964477539,1776652519.8148832,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/loss,9,3.3495702743530273,1776653521.326341,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/loss,10,3.2948567867279053,1776654539.6180708,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/loss,11,3.2505617141723633,1776655551.853497,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/loss,12,3.2147469520568848,1776656557.0101063,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/loss,13,3.1796958446502686,1776657564.4611607,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/loss,14,3.1496176719665527,1776658572.8066556,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/loss,15,3.1285860538482666,1776659581.8387828,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/loss,16,3.1035451889038086,1776660588.3433044,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/loss,17,3.078439950942993,1776661596.7136772,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/loss,18,3.0608510971069336,1776662607.3821206,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/loss,19,3.0490996837615967,1776663615.1793427,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/loss,20,3.0284173488616943,1776664627.4016223,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/loss,21,3.0130395889282227,1776665630.3647492,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/loss,22,3.00898814201355,1776666637.1473153,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/loss,23,2.993161678314209,1776667638.456241,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/loss,24,2.976578712463379,1776668645.8614893,events.out.tfevents.1776644455.41d7b82d1494.19306.1
lstm-v1,evaluation/loss,25,2.975429058074951,1776669646.3130782,events.out.tfevents.1776644455.41d7b82d1494.19306.1
