model,run,tag,step,value
LSTM,lstm-v2,train/loss,100,6.832714557647705
LSTM,lstm-v2,train/loss,200,6.33339262008667
LSTM,lstm-v2,train/loss,300,6.203025817871094
LSTM,lstm-v2,train/loss,400,6.063788414001465
LSTM,lstm-v2,train/loss,500,5.908912658691406
LSTM,lstm-v2,train/loss,600,5.906044960021973
LSTM,lstm-v2,train/loss,700,5.974043369293213
LSTM,lstm-v2,train/loss,800,5.565192699432373
LSTM,lstm-v2,train/loss,900,5.654963493347168
LSTM,lstm-v2,train/loss,1000,5.492863655090332
LSTM,lstm-v2,train/loss,1100,5.597704887390137
LSTM,lstm-v2,train/loss,1200,5.497313022613525
LSTM,lstm-v2,train/loss,1300,5.425176620483398
LSTM,lstm-v2,train/loss,1400,5.14657735824585
LSTM,lstm-v2,train/loss,1500,5.360889434814453
LSTM,lstm-v2,train/loss,1600,5.209959983825684
LSTM,lstm-v2,train/loss,1700,5.205643653869629
LSTM,lstm-v2,train/loss,1800,5.181796550750732
LSTM,lstm-v2,train/loss,1900,5.213186740875244
LSTM,lstm-v2,train/loss,2000,5.030533790588379
LSTM,lstm-v2,train/loss,2100,5.054257869720459
LSTM,lstm-v2,train/loss,2200,5.179598808288574
LSTM,lstm-v2,train/loss,2300,4.8175225257873535
LSTM,lstm-v2,train/loss,2400,4.872714996337891
LSTM,lstm-v2,train/loss,2500,4.910155296325684
LSTM,lstm-v2,train/loss,2600,4.861507415771484
LSTM,lstm-v2,train/loss,2700,4.789008140563965
LSTM,lstm-v2,train/loss,2800,4.73876953125
LSTM,lstm-v2,train/loss,2900,4.687359809875488
LSTM,lstm-v2,train/loss,3000,4.71828031539917
LSTM,lstm-v2,train/loss,3100,4.60990571975708
LSTM,lstm-v2,train/loss,3200,4.764026165008545
LSTM,lstm-v2,train/loss,3300,4.5153584480285645
LSTM,lstm-v2,train/loss,3400,4.538112640380859
LSTM,lstm-v2,train/loss,3500,4.725802421569824
LSTM,lstm-v2,train/loss,3600,4.355621337890625
LSTM,lstm-v2,train/loss,3700,4.42616081237793
LSTM,lstm-v2,train/loss,3800,4.321013450622559
LSTM,lstm-v2,train/loss,3900,4.729398727416992
LSTM,lstm-v2,train/loss,4000,4.53933048248291
LSTM,lstm-v2,train/loss,4100,4.402520179748535
LSTM,lstm-v2,train/loss,4200,4.296588897705078
LSTM,lstm-v2,train/loss,4300,4.395779132843018
LSTM,lstm-v2,train/loss,4400,4.130590438842773
LSTM,lstm-v2,train/loss,4500,4.3073577880859375
LSTM,lstm-v2,train/loss,4600,4.34812068939209
LSTM,lstm-v2,train/loss,4700,4.227905750274658
LSTM,lstm-v2,train/loss,4800,4.198346138000488
LSTM,lstm-v2,train/loss,4900,4.191270351409912
LSTM,lstm-v2,train/loss,5000,4.221465110778809
LSTM,lstm-v2,train/loss,5100,4.235905647277832
LSTM,lstm-v2,train/loss,5200,4.290362358093262
LSTM,lstm-v2,train/loss,5300,4.327693462371826
LSTM,lstm-v2,train/loss,5400,4.242048740386963
LSTM,lstm-v2,train/loss,5500,4.080341339111328
LSTM,lstm-v2,train/loss,5600,4.108458995819092
LSTM,lstm-v2,train/loss,5700,4.096695423126221
LSTM,lstm-v2,train/loss,5800,4.1693596839904785
LSTM,lstm-v2,train/loss,5900,4.116235733032227
LSTM,lstm-v2,train/loss,6000,4.302011013031006
LSTM,lstm-v2,train/loss,6100,4.101309299468994
LSTM,lstm-v2,train/loss,6200,3.944373369216919
LSTM,lstm-v2,train/loss,6300,4.051735877990723
LSTM,lstm-v2,train/loss,6400,3.84043288230896
LSTM,lstm-v2,train/loss,6500,3.9619994163513184
LSTM,lstm-v2,train/loss,6600,4.007287502288818
LSTM,lstm-v2,train/loss,6700,3.930631160736084
LSTM,lstm-v2,train/loss,6800,3.966442584991455
LSTM,lstm-v2,train/loss,6900,3.940612316131592
LSTM,lstm-v2,train/loss,7000,4.113720893859863
LSTM,lstm-v2,train/loss,7100,4.005951404571533
LSTM,lstm-v2,train/loss,7200,3.7749156951904297
LSTM,lstm-v2,train/loss,7300,4.037735939025879
LSTM,lstm-v2,train/loss,7400,3.8620810508728027
LSTM,lstm-v2,train/loss,7500,3.9784293174743652
LSTM,lstm-v2,train/loss,7600,3.551074981689453
LSTM,lstm-v2,train/loss,7700,3.7374496459960938
LSTM,lstm-v2,train/loss,7800,3.8365697860717773
LSTM,lstm-v2,train/loss,7900,3.7938363552093506
LSTM,lstm-v2,train/loss,8000,3.7937042713165283
LSTM,lstm-v2,train/loss,8100,3.787731170654297
LSTM,lstm-v2,train/loss,8200,3.7078347206115723
LSTM,lstm-v2,train/loss,8300,3.7659811973571777
LSTM,lstm-v2,train/loss,8400,3.867365598678589
LSTM,lstm-v2,train/loss,8500,3.7334883213043213
LSTM,lstm-v2,train/loss,8600,3.724853992462158
LSTM,lstm-v2,train/loss,8700,3.9335262775421143
LSTM,lstm-v2,train/loss,8800,3.6512372493743896
LSTM,lstm-v2,train/loss,8900,3.688974380493164
LSTM,lstm-v2,train/loss,9000,3.740776300430298
LSTM,lstm-v2,train/loss,9100,3.8047938346862793
LSTM,lstm-v2,train/loss,9200,3.8013901710510254
